session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
19yrypoq,11,fuvncn2j,26,mock,DiscussionGRPWaitPage,1755898160,3,0,1
19yrypoq,15,w2j0qzso,26,mock,DiscussionGRPWaitPage,1755898160,3,0,1
19yrypoq,30,60w3o5nq,26,mock,DiscussionGRPWaitPage,1755898160,3,0,1
19yrypoq,23,rg1i9b6i,26,mock,DiscussionGRPWaitPage,1755898160,3,0,1
19yrypoq,26,o33shhic,26,mock,DiscussionGRPWaitPage,1755898160,3,0,1
19yrypoq,28,9mdbdt4y,26,mock,DiscussionGRPWaitPage,1755898160,3,0,1
19yrypoq,28,9mdbdt4y,29,mock,Discussion,1755898166,3,0,0
19yrypoq,15,w2j0qzso,29,mock,Discussion,1755898168,3,0,0
19yrypoq,6,okdapvou,29,mock,Discussion,1755898168,3,0,0
19yrypoq,8,u0oh5ww3,29,mock,Discussion,1755898168,3,0,0
19yrypoq,41,e0v1lcj2,6,presurvey,TrainingNeighbor_2,1755898170,1,0,0
19yrypoq,30,60w3o5nq,29,mock,Discussion,1755898174,3,0,0
19yrypoq,26,o33shhic,29,mock,Discussion,1755898175,3,0,0
19yrypoq,23,rg1i9b6i,29,mock,Discussion,1755898176,3,0,0
19yrypoq,41,e0v1lcj2,7,presurvey,AttentionCheck,1755898180,1,0,0
19yrypoq,42,afwvref0,1,presurvey,Introduction,1755898199,1,0,0
19yrypoq,42,afwvref0,2,presurvey,Demographics,1755898208,1,0,0
19yrypoq,11,fuvncn2j,29,mock,Discussion,1755898208,3,1,0
19yrypoq,41,e0v1lcj2,8,presurvey,TrainingNeighbor_3,1755898209,1,0,0
19yrypoq,6,okdapvou,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,8,u0oh5ww3,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,11,fuvncn2j,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,15,w2j0qzso,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,30,60w3o5nq,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,23,rg1i9b6i,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,26,o33shhic,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,28,9mdbdt4y,32,mock,DiscussionGRPWaitPage,1755898211,4,0,1
19yrypoq,30,60w3o5nq,35,mock,Discussion,1755898216,4,0,0
19yrypoq,28,9mdbdt4y,35,mock,Discussion,1755898218,4,0,0
19yrypoq,23,rg1i9b6i,35,mock,Discussion,1755898221,4,0,0
19yrypoq,8,u0oh5ww3,35,mock,Discussion,1755898225,4,0,0
19yrypoq,11,fuvncn2j,35,mock,Discussion,1755898225,4,0,0
19yrypoq,26,o33shhic,35,mock,Discussion,1755898234,4,0,0
19yrypoq,6,okdapvou,35,mock,Discussion,1755898240,4,0,0
19yrypoq,38,nuyhii86,4,presurvey,Training,1755898240,1,0,0
19yrypoq,15,w2j0qzso,35,mock,Discussion,1755898240,4,0,0
19yrypoq,6,okdapvou,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,8,u0oh5ww3,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,11,fuvncn2j,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,15,w2j0qzso,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,30,60w3o5nq,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,23,rg1i9b6i,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,26,o33shhic,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,28,9mdbdt4y,38,mock,DiscussionGRPWaitPage,1755898240,5,0,1
19yrypoq,42,afwvref0,3,presurvey,NeighborhoodInstruction,1755898241,1,0,0
19yrypoq,6,okdapvou,41,mock,Discussion,1755898243,5,0,0
19yrypoq,28,9mdbdt4y,41,mock,Discussion,1755898245,5,0,0
19yrypoq,30,60w3o5nq,41,mock,Discussion,1755898245,5,0,0
19yrypoq,8,u0oh5ww3,41,mock,Discussion,1755898245,5,0,0
19yrypoq,26,o33shhic,41,mock,Discussion,1755898251,5,0,0
19yrypoq,15,w2j0qzso,41,mock,Discussion,1755898258,5,0,0
19yrypoq,42,afwvref0,4,presurvey,Training,1755898264,1,0,0
19yrypoq,23,rg1i9b6i,41,mock,Discussion,1755898268,5,0,0
19yrypoq,40,ak6unzru,10,presurvey,Scenario,1755898271,1,0,0
19yrypoq,42,afwvref0,5,presurvey,TrainingNeighbor_1,1755898285,1,0,0
19yrypoq,11,fuvncn2j,41,mock,Discussion,1755898290,5,1,0
19yrypoq,6,okdapvou,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,8,u0oh5ww3,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,11,fuvncn2j,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,15,w2j0qzso,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,30,60w3o5nq,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,23,rg1i9b6i,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,26,o33shhic,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,28,9mdbdt4y,44,mock,DiscussionGRPWaitPage,1755898290,6,0,1
19yrypoq,42,afwvref0,9,presurvey,ExperimentInstruction,1755898290,1,0,0
