participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
1tz0xqjm,8,s4_p,-1.0,NO_p,"0, -1, -1",Neutral,-1.0,1.0
1tz0xqjm,9,s4_p,0.0,NO_p,"-1, 1, 0",Neutral,1.0,1.0
1tz0xqjm,10,s4_p,0.0,NO_p,"0, 1, 0",Neutral,0.0,0.0
22sw755d,1,s4_n,0.0,C_n,"1, -1, -1",Neutral,0.0,0.0
22sw755d,2,s4_n,-1.0,C_n,"-1, -1, -1",Neutral,-1.0,1.0
22sw755d,3,s4_n,-1.0,C_n,"1, 1, 1",Neutral,0.0,0.0
22sw755d,4,s4_n,0.0,C_n,"0, 0, 0",Neutral,1.0,1.0
22sw755d,5,s4_n,-1.0,C_n,"1, 0, -1",Neutral,-1.0,1.0
22sw755d,6,s4_n,-1.0,C_n,"-1, 0, 0",Neutral,0.0,0.0
22sw755d,7,s4_n,0.0,C_n,"1, 0, 1",Neutral,1.0,1.0
22sw755d,8,s4_n,-1.0,C_n,"0, -1, -1",Neutral,-1.0,1.0
22sw755d,9,s4_n,-1.0,C_n,"1, -1, 1",Neutral,0.0,0.0
22sw755d,10,s4_n,0.0,C_n,"0, 0, 1",Neutral,1.0,1.0
25os6zos,1,s9_n,-1.0,AC_n,"0, 1, 0",Non-Neutral,0.0,0.0
25os6zos,2,s9_n,0.0,AC_n,"-1, -1, -1",Non-Neutral,1.0,1.0
25os6zos,3,s9_n,0.0,AC_n,"-1, 1, -1",Non-Neutral,0.0,0.0
25os6zos,4,s9_n,-1.0,AC_n,"1, 0, -1",Non-Neutral,-1.0,1.0
25os6zos,5,s9_n,-1.0,AC_n,"1, 1, 1",Non-Neutral,0.0,0.0
25os6zos,6,s9_n,0.0,AC_n,"1, 1, -1",Non-Neutral,1.0,1.0
25os6zos,7,s9_n,-1.0,AC_n,"0, 0, 0",Non-Neutral,-1.0,1.0
25os6zos,8,s9_n,1.0,AC_n,"0, -1, -1",Non-Neutral,2.0,2.0
25os6zos,9,s9_n,-1.0,AC_n,"0, 1, 1",Non-Neutral,-2.0,2.0
25os6zos,10,s9_n,1.0,AC_n,"0, -1, 0",Non-Neutral,2.0,2.0
27rruec5,1,s4_p,1.0,AC_p,"[1, 1, 1]",Non-Neutral,0.0,0.0
27rruec5,2,s4_p,1.0,AC_p,"[1, 1, -1]",Non-Neutral,0.0,0.0
27rruec5,3,s4_p,1.0,AC_p,"[0, 0, 0]",Non-Neutral,0.0,0.0
27rruec5,4,s4_p,1.0,AC_p,"[1, -1, 0]",Non-Neutral,0.0,0.0
27rruec5,5,s4_p,1.0,AC_p,"[0, -1, -1]",Non-Neutral,0.0,0.0
27rruec5,6,s4_p,1.0,AC_p,"[1, -1, -1]",Non-Neutral,0.0,0.0
27rruec5,7,s4_p,1.0,AC_p,"[-1, 0, 0]",Non-Neutral,0.0,0.0
27rruec5,8,s4_p,1.0,AC_p,"[0, 1, 1]",Non-Neutral,0.0,0.0
27rruec5,9,s4_p,1.0,AC_p,"[-1, -1, -1]",Non-Neutral,0.0,0.0
