participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
68l0ptph,1,s4_p,0.0,C_p,"[-1, -1, -1]",Non-Neutral,1.0,1.0
68l0ptph,2,s4_p,1.0,C_p,"[-1, -1, 0]",Non-Neutral,1.0,1.0
68l0ptph,3,s4_p,-1.0,C_p,"[0, 0, 1]",Non-Neutral,-2.0,2.0
68l0ptph,4,s4_p,-1.0,C_p,"[-1, -1, 1]",Non-Neutral,0.0,0.0
68l0ptph,5,s4_p,-1.0,C_p,"[-1, 0, 0]",Non-Neutral,0.0,0.0
68l0ptph,6,s4_p,-1.0,C_p,"[-1, 0, 1]",Non-Neutral,0.0,0.0
68l0ptph,7,s4_p,-1.0,C_p,"[1, 1, 1]",Non-Neutral,0.0,0.0
68l0ptph,8,s4_p,1.0,C_p,"[1, -1, 1]",Non-Neutral,2.0,2.0
68l0ptph,9,s4_p,-1.0,C_p,"[1, 1, 0]",Non-Neutral,-2.0,2.0
68l0ptph,10,s4_p,-1.0,C_p,"[0, 0, 0]",Non-Neutral,0.0,0.0
70ss2mr0,1,s2_n,1.0,NO_n,"[-1, -1, 1]",Neutral,1.0,1.0
70ss2mr0,2,s2_n,0.0,NO_n,"[-1, 0, 1]",Neutral,-1.0,1.0
70ss2mr0,3,s2_n,0.0,NO_n,"[1, 0, 1]",Neutral,0.0,0.0
70ss2mr0,4,s2_n,0.0,NO_n,"[1, 1, 1]",Neutral,0.0,0.0
70ss2mr0,5,s2_n,0.0,NO_n,"[-1, -1, 0]",Neutral,0.0,0.0
70ss2mr0,6,s2_n,0.0,NO_n,"[-1, 0, 0]",Neutral,0.0,0.0
70ss2mr0,7,s2_n,0.0,NO_n,"[0, 0, 0]",Neutral,0.0,0.0
70ss2mr0,8,s2_n,0.0,NO_n,"[-1, -1, -1]",Neutral,0.0,0.0
70ss2mr0,9,s2_n,0.0,NO_n,"[0, 1, 0]",Neutral,0.0,0.0
70ss2mr0,10,s2_n,1.0,NO_n,"[-1, 1, 1]",Neutral,1.0,1.0
7x8pkfd5,1,s4_n,-1.0,NO_n,"0, 0, -1",Non-Neutral,0.0,0.0
7x8pkfd5,2,s4_n,-1.0,NO_n,"0, 0, 0",Non-Neutral,0.0,0.0
7x8pkfd5,3,s4_n,-1.0,NO_n,"-1, 1, -1",Non-Neutral,0.0,0.0
7x8pkfd5,4,s4_n,-1.0,NO_n,"1, 1, -1",Non-Neutral,0.0,0.0
7x8pkfd5,5,s4_n,-1.0,NO_n,"-1, 0, 1",Non-Neutral,0.0,0.0
7x8pkfd5,6,s4_n,-1.0,NO_n,"0, 0, 1",Non-Neutral,0.0,0.0
7x8pkfd5,7,s4_n,-1.0,NO_n,"-1, -1, 0",Non-Neutral,0.0,0.0
7x8pkfd5,8,s4_n,1.0,NO_n,"1, 1, 1",Non-Neutral,2.0,2.0
7x8pkfd5,9,s4_n,1.0,NO_n,"1, 1, 0",Non-Neutral,0.0,0.0
7x8pkfd5,10,s4_n,-1.0,NO_n,"-1, -1, -1",Non-Neutral,-2.0,2.0
897to2u1,1,s9_n,1.0,AC_n,"-1, -1, 1",Non-Neutral,2.0,2.0
897to2u1,2,s9_n,1.0,AC_n,"0, 1, 0",Non-Neutral,0.0,0.0
897to2u1,3,s9_n,-1.0,AC_n,"1, -1, 0",Non-Neutral,-2.0,2.0
897to2u1,4,s9_n,-1.0,AC_n,"0, 0, 0",Non-Neutral,0.0,0.0
897to2u1,5,s9_n,1.0,AC_n,"1, 1, 1",Non-Neutral,2.0,2.0
897to2u1,6,s9_n,-1.0,AC_n,"0, 0, -1",Non-Neutral,-2.0,2.0
897to2u1,7,s9_n,-1.0,AC_n,"-1, 0, -1",Non-Neutral,0.0,0.0
897to2u1,8,s9_n,1.0,AC_n,"-1, -1, -1",Non-Neutral,2.0,2.0
897to2u1,9,s9_n,0.0,AC_n,"1, -1, 1",Non-Neutral,-1.0,1.0
897to2u1,10,s9_n,-1.0,AC_n,"0, 1, 1",Non-Neutral,-1.0,1.0
8bd6khwj,1,s9_p,1.0,NO_p,"[0, 1, 1]",Neutral,1.0,1.0
8bd6khwj,2,s9_p,1.0,NO_p,"[1, 1, 1]",Neutral,0.0,0.0
8bd6khwj,3,s9_p,0.0,NO_p,"[1, 0, 0]",Neutral,-1.0,1.0
8bd6khwj,4,s9_p,0.0,NO_p,"[0, -1, 0]",Neutral,0.0,0.0
8bd6khwj,5,s9_p,1.0,NO_p,"[-1, 1, 0]",Neutral,1.0,1.0
8bd6khwj,6,s9_p,0.0,NO_p,"[-1, -1, 1]",Neutral,-1.0,1.0
8bd6khwj,7,s9_p,0.0,NO_p,"[-1, 0, -1]",Neutral,0.0,0.0
8bd6khwj,8,s9_p,1.0,NO_p,"[0, 0, 0]",Neutral,1.0,1.0
8bd6khwj,9,s9_p,0.0,NO_p,"[-1, 1, 1]",Neutral,-1.0,1.0
8bd6khwj,10,s9_p,-1.0,NO_p,"[-1, -1, -1]",Neutral,-1.0,1.0
8lhlmljs,1,s2_p,0.0,NO_p,"-1, -1, -1",Neutral,0.0,0.0
8lhlmljs,2,s2_p,0.0,NO_p,"0, 0, 0",Neutral,0.0,0.0
8lhlmljs,3,s2_p,0.0,NO_p,"-1, 1, 0",Neutral,0.0,0.0
8lhlmljs,4,s2_p,0.0,NO_p,"1, -1, -1",Neutral,0.0,0.0
8lhlmljs,5,s2_p,0.0,NO_p,"-1, 1, 1",Neutral,0.0,0.0
8lhlmljs,6,s2_p,0.0,NO_p,"1, 1, 1",Neutral,0.0,0.0
8lhlmljs,7,s2_p,0.0,NO_p,"1, 1, 0",Neutral,0.0,0.0
8lhlmljs,8,s2_p,0.0,NO_p,"0, 1, 0",Neutral,0.0,0.0
8lhlmljs,9,s2_p,0.0,NO_p,"-1, 0, -1",Neutral,0.0,0.0
8lhlmljs,10,s2_p,0.0,NO_p,"-1, 0, 0",Neutral,0.0,0.0
8uqhbvx9,1,s9_n,1.0,AC_n,"1, -1, 0",Non-Neutral,0.0,0.0
8uqhbvx9,2,s9_n,1.0,AC_n,"1, 1, -1",Non-Neutral,0.0,0.0
8uqhbvx9,3,s9_n,1.0,AC_n,"-1, -1, 1",Non-Neutral,0.0,0.0
8uqhbvx9,4,s9_n,1.0,AC_n,"0, 0, 0",Non-Neutral,0.0,0.0
8uqhbvx9,5,s9_n,1.0,AC_n,"-1, 0, -1",Non-Neutral,0.0,0.0
8uqhbvx9,6,s9_n,1.0,AC_n,"1, 1, 1",Non-Neutral,0.0,0.0
8uqhbvx9,7,s9_n,1.0,AC_n,"-1, -1, -1",Non-Neutral,0.0,0.0
8uqhbvx9,8,s9_n,1.0,AC_n,"0, 1, 1",Non-Neutral,0.0,0.0
8uqhbvx9,9,s9_n,0.0,AC_n,"1, 0, 0",Non-Neutral,-1.0,1.0
8uqhbvx9,10,s9_n,0.0,AC_n,"0, -1, 0",Non-Neutral,0.0,0.0
9ac3hmt8,1,s9_p,-1.0,AC_p,"[1, -1, 1]",Non-Neutral,0.0,0.0
9ac3hmt8,2,s9_p,-1.0,AC_p,"[-1, -1, 0]",Non-Neutral,0.0,0.0
9ac3hmt8,3,s9_p,-1.0,AC_p,"[0, 0, -1]",Non-Neutral,0.0,0.0
9ac3hmt8,4,s9_p,-1.0,AC_p,"[1, 1, 0]",Non-Neutral,0.0,0.0
9ac3hmt8,5,s9_p,-1.0,AC_p,"[1, -1, -1]",Non-Neutral,0.0,0.0
9ac3hmt8,6,s9_p,-1.0,AC_p,"[1, 1, 1]",Non-Neutral,0.0,0.0
9ac3hmt8,7,s9_p,-1.0,AC_p,"[-1, -1, -1]",Non-Neutral,0.0,0.0
9ac3hmt8,8,s9_p,-1.0,AC_p,"[0, 0, 1]",Non-Neutral,0.0,0.0
9ac3hmt8,9,s9_p,-1.0,AC_p,"[1, -1, 0]",Non-Neutral,0.0,0.0
9ac3hmt8,10,s9_p,-1.0,AC_p,"[0, 0, 0]",Non-Neutral,0.0,0.0
9el7ivjc,1,s4_n,-1.0,AC_n,"-1, -1, -1",Non-Neutral,0.0,0.0
9el7ivjc,2,s4_n,-1.0,AC_n,"1, 0, 0",Non-Neutral,0.0,0.0
9el7ivjc,3,s4_n,-1.0,AC_n,"0, -1, 1",Non-Neutral,0.0,0.0
9el7ivjc,4,s4_n,-1.0,AC_n,"1, -1, -1",Non-Neutral,0.0,0.0
9el7ivjc,5,s4_n,-1.0,AC_n,"-1, 0, -1",Non-Neutral,0.0,0.0
9el7ivjc,6,s4_n,-1.0,AC_n,"0, 0, 0",Non-Neutral,0.0,0.0
9el7ivjc,7,s4_n,-1.0,AC_n,"1, 1, 1",Non-Neutral,0.0,0.0
9el7ivjc,8,s4_n,-1.0,AC_n,"0, 1, 1",Non-Neutral,0.0,0.0
9el7ivjc,9,s4_n,-1.0,AC_n,"1, -1, 1",Non-Neutral,0.0,0.0
9el7ivjc,10,s4_n,-1.0,AC_n,"-1, 0, 0",Non-Neutral,0.0,0.0
9kowj1he,1,s9_p,1.0,C_p,"0, 0, 1",Non-Neutral,0.0,0.0
9kowj1he,2,s9_p,1.0,C_p,"1, 0, -1",Non-Neutral,0.0,0.0
9kowj1he,3,s9_p,0.0,C_p,"0, 0, 0",Non-Neutral,-1.0,1.0
9kowj1he,4,s9_p,1.0,C_p,"1, 1, 1",Non-Neutral,1.0,1.0
9kowj1he,5,s9_p,1.0,C_p,"-1, -1, -1",Non-Neutral,0.0,0.0
9kowj1he,6,s9_p,1.0,C_p,"-1, 1, 1",Non-Neutral,0.0,0.0
9kowj1he,7,s9_p,1.0,C_p,"1, 0, 1",Non-Neutral,0.0,0.0
9kowj1he,8,s9_p,1.0,C_p,"-1, 0, -1",Non-Neutral,0.0,0.0
9kowj1he,9,s9_p,1.0,C_p,"-1, 1, -1",Non-Neutral,0.0,0.0
9kowj1he,10,s9_p,1.0,C_p,"0, 0, -1",Non-Neutral,0.0,0.0
a2ph9zey,1,s9_p,1.0,C_p,"0, 1, 1",Non-Neutral,0.0,0.0
a2ph9zey,2,s9_p,1.0,C_p,"1, 0, 0",Non-Neutral,0.0,0.0
a2ph9zey,3,s9_p,1.0,C_p,"0, 0, -1",Non-Neutral,0.0,0.0
a2ph9zey,4,s9_p,1.0,C_p,"-1, -1, 0",Non-Neutral,0.0,0.0
a2ph9zey,5,s9_p,1.0,C_p,"0, 0, 0",Non-Neutral,0.0,0.0
a2ph9zey,6,s9_p,1.0,C_p,"1, 0, -1",Non-Neutral,0.0,0.0
a2ph9zey,7,s9_p,1.0,C_p,"-1, -1, 1",Non-Neutral,0.0,0.0
a2ph9zey,8,s9_p,1.0,C_p,"1, 1, 1",Non-Neutral,0.0,0.0
a2ph9zey,9,s9_p,1.0,C_p,"-1, 1, 1",Non-Neutral,0.0,0.0
a2ph9zey,10,s9_p,-1.0,C_p,"-1, -1, -1",Non-Neutral,-2.0,2.0
alb8jopf,1,s2_p,0.0,C_p,"[-1, -1, 1]",Neutral,0.0,0.0
alb8jopf,2,s2_p,0.0,C_p,"[0, 1, 0]",Neutral,0.0,0.0
alb8jopf,3,s2_p,1.0,C_p,"[1, 1, 1]",Neutral,1.0,1.0
alb8jopf,4,s2_p,-1.0,C_p,"[0, -1, -1]",Neutral,-2.0,2.0
alb8jopf,5,s2_p,0.0,C_p,"[-1, 0, 0]",Neutral,1.0,1.0
alb8jopf,6,s2_p,1.0,C_p,"[1, 1, -1]",Neutral,1.0,1.0
alb8jopf,7,s2_p,1.0,C_p,"[1, 1, 0]",Neutral,0.0,0.0
alb8jopf,8,s2_p,0.0,C_p,"[0, 0, 0]",Neutral,-1.0,1.0
alb8jopf,9,s2_p,-1.0,C_p,"[-1, -1, -1]",Neutral,-1.0,1.0
alb8jopf,10,s2_p,0.0,C_p,"[1, 0, -1]",Neutral,1.0,1.0
aodrvssw,1,s9_n,0.0,C_n,"1, 0, 0",Non-Neutral,1.0,1.0
aodrvssw,2,s9_n,0.0,C_n,"1, 1, 0",Non-Neutral,0.0,0.0
aodrvssw,3,s9_n,-1.0,C_n,"-1, -1, -1",Non-Neutral,-1.0,1.0
aodrvssw,4,s9_n,-1.0,C_n,"0, -1, 1",Non-Neutral,0.0,0.0
aodrvssw,5,s9_n,0.0,C_n,"0, 0, 0",Non-Neutral,1.0,1.0
aodrvssw,6,s9_n,0.0,C_n,"0, 0, -1",Non-Neutral,0.0,0.0
aodrvssw,7,s9_n,1.0,C_n,"1, 1, 1",Non-Neutral,1.0,1.0
aodrvssw,8,s9_n,1.0,C_n,"1, -1, 1",Non-Neutral,0.0,0.0
aodrvssw,9,s9_n,-1.0,C_n,"1, -1, -1",Non-Neutral,-2.0,2.0
aodrvssw,10,s9_n,-1.0,C_n,"-1, 0, -1",Non-Neutral,0.0,0.0
b0au8mbn,1,s4_n,1.0,C_n,"[0, 1, 0]",Non-Neutral,0.0,0.0
b0au8mbn,2,s4_n,1.0,C_n,"[1, -1, 1]",Non-Neutral,0.0,0.0
b0au8mbn,3,s4_n,0.0,C_n,"[0, -1, -1]",Non-Neutral,-1.0,1.0
b0au8mbn,4,s4_n,1.0,C_n,"[1, 0, 1]",Non-Neutral,1.0,1.0
b0au8mbn,5,s4_n,0.0,C_n,"[0, -1, 0]",Non-Neutral,-1.0,1.0
b0au8mbn,6,s4_n,-1.0,C_n,"[-1, -1, -1]",Non-Neutral,-1.0,1.0
b0au8mbn,7,s4_n,0.0,C_n,"[1, 1, 1]",Non-Neutral,1.0,1.0
b0au8mbn,8,s4_n,0.0,C_n,"[0, 0, 0]",Non-Neutral,0.0,0.0
b0au8mbn,9,s4_n,1.0,C_n,"[1, -1, 0]",Non-Neutral,1.0,1.0
b0au8mbn,10,s4_n,1.0,C_n,"[1, -1, -1]",Non-Neutral,0.0,0.0
b7311j5a,1,s2_p,1.0,AC_p,"0, 1, 0",Non-Neutral,0.0,0.0
b7311j5a,2,s2_p,1.0,AC_p,"1, 1, 1",Non-Neutral,0.0,0.0
b7311j5a,3,s2_p,1.0,AC_p,"-1, 1, 1",Non-Neutral,0.0,0.0
b7311j5a,4,s2_p,1.0,AC_p,"1, 1, 0",Non-Neutral,0.0,0.0
b7311j5a,5,s2_p,0.0,AC_p,"1, -1, -1",Non-Neutral,-1.0,1.0
b7311j5a,6,s2_p,0.0,AC_p,"1, 0, -1",Non-Neutral,0.0,0.0
b7311j5a,7,s2_p,1.0,AC_p,"0, -1, 0",Non-Neutral,1.0,1.0
b7311j5a,8,s2_p,1.0,AC_p,"-1, -1, 0",Non-Neutral,0.0,0.0
b7311j5a,9,s2_p,0.0,AC_p,"0, 0, 0",Non-Neutral,-1.0,1.0
b7311j5a,10,s2_p,-1.0,AC_p,"-1, -1, -1",Non-Neutral,-1.0,1.0
buhotb05,1,s2_n,0.0,C_n,"1, -1, 1",Neutral,0.0,0.0
buhotb05,2,s2_n,0.0,C_n,"-1, 1, 0",Neutral,0.0,0.0
buhotb05,3,s2_n,1.0,C_n,"1, 0, 1",Neutral,1.0,1.0
buhotb05,4,s2_n,-1.0,C_n,"1, -1, -1",Neutral,-2.0,2.0
buhotb05,5,s2_n,1.0,C_n,"1, 1, 1",Neutral,2.0,2.0
buhotb05,6,s2_n,1.0,C_n,"0, 0, 0",Neutral,0.0,0.0
buhotb05,7,s2_n,0.0,C_n,"0, 0, -1",Neutral,-1.0,1.0
buhotb05,8,s2_n,1.0,C_n,"-1, -1, -1",Neutral,1.0,1.0
buhotb05,9,s2_n,0.0,C_n,"-1, 0, -1",Neutral,-1.0,1.0
buhotb05,10,s2_n,0.0,C_n,"0, 1, 0",Neutral,0.0,0.0
bzbc7z4u,1,s9_p,-1.0,NO_p,"-1, 1, -1",Non-Neutral,0.0,0.0
bzbc7z4u,2,s9_p,0.0,NO_p,"0, -1, -1",Non-Neutral,1.0,1.0
bzbc7z4u,3,s9_p,-1.0,NO_p,"0, 0, 0",Non-Neutral,-1.0,1.0
bzbc7z4u,4,s9_p,-1.0,NO_p,"-1, 1, 1",Non-Neutral,0.0,0.0
bzbc7z4u,5,s9_p,-1.0,NO_p,"1, 0, 0",Non-Neutral,0.0,0.0
bzbc7z4u,6,s9_p,-1.0,NO_p,"-1, 0, 1",Non-Neutral,0.0,0.0
bzbc7z4u,7,s9_p,-1.0,NO_p,"1, 1, 1",Non-Neutral,0.0,0.0
bzbc7z4u,8,s9_p,-1.0,NO_p,"-1, -1, -1",Non-Neutral,0.0,0.0
bzbc7z4u,9,s9_p,-1.0,NO_p,"0, 0, -1",Non-Neutral,0.0,0.0
bzbc7z4u,10,s9_p,-1.0,NO_p,"1, 0, 1",Non-Neutral,0.0,0.0
c1i1bc8n,1,s9_p,1.0,AC_p,"0, 0, 0",Non-Neutral,0.0,0.0
c1i1bc8n,2,s9_p,1.0,AC_p,"0, 0, 1",Non-Neutral,0.0,0.0
c1i1bc8n,3,s9_p,1.0,AC_p,"-1, 0, -1",Non-Neutral,0.0,0.0
c1i1bc8n,4,s9_p,1.0,AC_p,"-1, 0, 1",Non-Neutral,0.0,0.0
c1i1bc8n,5,s9_p,1.0,AC_p,"0, 1, 1",Non-Neutral,0.0,0.0
c1i1bc8n,6,s9_p,1.0,AC_p,"1, 1, -1",Non-Neutral,0.0,0.0
c1i1bc8n,7,s9_p,1.0,AC_p,"-1, -1, -1",Non-Neutral,0.0,0.0
c1i1bc8n,8,s9_p,1.0,AC_p,"1, 1, 1",Non-Neutral,0.0,0.0
c1i1bc8n,9,s9_p,1.0,AC_p,"1, -1, -1",Non-Neutral,0.0,0.0
c1i1bc8n,10,s9_p,1.0,AC_p,"0, 0, -1",Non-Neutral,0.0,0.0
crvglbzy,1,s9_p,1.0,C_p,"1, 1, -1",Non-Neutral,0.0,0.0
crvglbzy,2,s9_p,0.0,C_p,"-1, 0, 0",Non-Neutral,-1.0,1.0
crvglbzy,3,s9_p,1.0,C_p,"1, 0, 1",Non-Neutral,1.0,1.0
crvglbzy,4,s9_p,1.0,C_p,"-1, 1, 0",Non-Neutral,0.0,0.0
crvglbzy,5,s9_p,0.0,C_p,"0, 1, 0",Non-Neutral,-1.0,1.0
crvglbzy,6,s9_p,0.0,C_p,"0, 0, 0",Non-Neutral,0.0,0.0
crvglbzy,7,s9_p,-1.0,C_p,"-1, -1, -1",Non-Neutral,-1.0,1.0
crvglbzy,8,s9_p,-1.0,C_p,"-1, -1, 0",Non-Neutral,0.0,0.0
crvglbzy,9,s9_p,-1.0,C_p,"-1, 1, -1",Non-Neutral,0.0,0.0
crvglbzy,10,s9_p,1.0,C_p,"1, 1, 1",Non-Neutral,2.0,2.0
csb48ulf,1,s2_n,1.0,AC_n,"1, 1, 1",Non-Neutral,0.0,0.0
csb48ulf,2,s2_n,0.0,AC_n,"0, 0, 0",Non-Neutral,-1.0,1.0
csb48ulf,3,s2_n,0.0,AC_n,"-1, 0, -1",Non-Neutral,0.0,0.0
csb48ulf,4,s2_n,1.0,AC_n,"0, 1, 0",Non-Neutral,1.0,1.0
csb48ulf,5,s2_n,1.0,AC_n,"-1, 1, 1",Non-Neutral,0.0,0.0
csb48ulf,6,s2_n,1.0,AC_n,"0, 1, -1",Non-Neutral,0.0,0.0
csb48ulf,7,s2_n,1.0,AC_n,"-1, 1, -1",Non-Neutral,0.0,0.0
csb48ulf,8,s2_n,0.0,AC_n,"0, -1, 0",Non-Neutral,-1.0,1.0
csb48ulf,9,s2_n,0.0,AC_n,"-1, -1, -1",Non-Neutral,0.0,0.0
csb48ulf,10,s2_n,0.0,AC_n,"1, 0, 1",Non-Neutral,0.0,0.0
d4zgydcz,1,s4_n,0.0,AC_n,"[-1, 1, -1]",Neutral,0.0,0.0
d4zgydcz,2,s4_n,0.0,AC_n,"[-1, -1, -1]",Neutral,0.0,0.0
d4zgydcz,3,s4_n,0.0,AC_n,"[0, 1, 1]",Neutral,0.0,0.0
d4zgydcz,4,s4_n,0.0,AC_n,"[0, -1, -1]",Neutral,0.0,0.0
d4zgydcz,5,s4_n,-1.0,AC_n,"[1, 0, 0]",Neutral,-1.0,1.0
d4zgydcz,6,s4_n,-1.0,AC_n,"[0, 0, 0]",Neutral,0.0,0.0
d4zgydcz,7,s4_n,0.0,AC_n,"[-1, 0, 1]",Neutral,1.0,1.0
d4zgydcz,8,s4_n,1.0,AC_n,"[0, -1, 0]",Neutral,1.0,1.0
d4zgydcz,9,s4_n,0.0,AC_n,"[-1, 1, 1]",Neutral,-1.0,1.0
d4zgydcz,10,s4_n,0.0,AC_n,"[1, 1, 1]",Neutral,0.0,0.0
dua2uv6m,1,s9_n,-1.0,AC_n,"0, 1, -1",Non-Neutral,0.0,0.0
dua2uv6m,2,s9_n,-1.0,AC_n,"1, 1, 0",Non-Neutral,0.0,0.0
dua2uv6m,3,s9_n,-1.0,AC_n,"0, 0, 0",Non-Neutral,0.0,0.0
dua2uv6m,4,s9_n,1.0,AC_n,"-1, -1, -1",Non-Neutral,2.0,2.0
dua2uv6m,5,s9_n,-1.0,AC_n,"-1, -1, 0",Non-Neutral,-2.0,2.0
dua2uv6m,6,s9_n,-1.0,AC_n,"1, 0, 0",Non-Neutral,0.0,0.0
dua2uv6m,7,s9_n,0.0,AC_n,"-1, 1, 1",Non-Neutral,1.0,1.0
dua2uv6m,8,s9_n,0.0,AC_n,"-1, 1, -1",Non-Neutral,0.0,0.0
dua2uv6m,9,s9_n,-1.0,AC_n,"1, 1, 1",Non-Neutral,-1.0,1.0
dua2uv6m,10,s9_n,-1.0,AC_n,"0, 0, -1",Non-Neutral,0.0,0.0
e3t9qh98,1,s9_n,0.0,C_n,"[0, 0, 0]",Non-Neutral,-1.0,1.0
e3t9qh98,2,s9_n,1.0,C_n,"[-1, 1, 1]",Non-Neutral,1.0,1.0
e3t9qh98,3,s9_n,0.0,C_n,"[0, 0, -1]",Non-Neutral,-1.0,1.0
e3t9qh98,4,s9_n,-1.0,C_n,"[-1, -1, 1]",Non-Neutral,-1.0,1.0
e3t9qh98,5,s9_n,-1.0,C_n,"[-1, 0, -1]",Non-Neutral,0.0,0.0
e3t9qh98,6,s9_n,0.0,C_n,"[1, 0, 0]",Non-Neutral,1.0,1.0
e3t9qh98,7,s9_n,1.0,C_n,"[1, 0, 1]",Non-Neutral,1.0,1.0
e3t9qh98,8,s9_n,-1.0,C_n,"[-1, -1, -1]",Non-Neutral,-2.0,2.0
e3t9qh98,9,s9_n,0.0,C_n,"[-1, 0, 1]",Non-Neutral,1.0,1.0
e3t9qh98,10,s9_n,1.0,C_n,"[1, 1, 1]",Non-Neutral,1.0,1.0
e3xe5lmn,1,s4_n,0.0,NO_n,"0, 0, -1",Neutral,0.0,0.0
e3xe5lmn,2,s4_n,1.0,NO_n,"1, 1, -1",Neutral,1.0,1.0
e3xe5lmn,3,s4_n,-1.0,NO_n,"-1, -1, 0",Neutral,-2.0,2.0
e3xe5lmn,4,s4_n,0.0,NO_n,"0, 0, 0",Neutral,1.0,1.0
e3xe5lmn,5,s4_n,1.0,NO_n,"1, 0, 1",Neutral,1.0,1.0
e3xe5lmn,6,s4_n,-1.0,NO_n,"-1, -1, -1",Neutral,-2.0,2.0
e3xe5lmn,7,s4_n,0.0,NO_n,"1, 0, 0",Neutral,1.0,1.0
e3xe5lmn,8,s4_n,1.0,NO_n,"1, 1, 1",Neutral,1.0,1.0
e3xe5lmn,9,s4_n,0.0,NO_n,"-1, 1, 0",Neutral,-1.0,1.0
e3xe5lmn,10,s4_n,-1.0,NO_n,"1, -1, -1",Neutral,-1.0,1.0
e5ci97vu,1,s9_p,1.0,AC_p,"0, 0, -1",Non-Neutral,0.0,0.0
e5ci97vu,2,s9_p,1.0,AC_p,"1, 1, 1",Non-Neutral,0.0,0.0
e5ci97vu,3,s9_p,1.0,AC_p,"0, -1, -1",Non-Neutral,0.0,0.0
e5ci97vu,4,s9_p,1.0,AC_p,"1, 0, 1",Non-Neutral,0.0,0.0
e5ci97vu,5,s9_p,1.0,AC_p,"-1, -1, -1",Non-Neutral,0.0,0.0
e5ci97vu,6,s9_p,1.0,AC_p,"0, -1, 1",Non-Neutral,0.0,0.0
e5ci97vu,7,s9_p,0.0,AC_p,"-1, 1, 1",Non-Neutral,-1.0,1.0
e5ci97vu,8,s9_p,1.0,AC_p,"1, -1, -1",Non-Neutral,1.0,1.0
e5ci97vu,9,s9_p,1.0,AC_p,"0, 0, 1",Non-Neutral,0.0,0.0
e5ci97vu,10,s9_p,1.0,AC_p,"0, 0, 0",Non-Neutral,0.0,0.0
e76o2u3r,1,s9_n,1.0,C_n,"-1, 1, -1",Non-Neutral,0.0,0.0
e76o2u3r,2,s9_n,1.0,C_n,"-1, 1, 0",Non-Neutral,0.0,0.0
e76o2u3r,3,s9_n,1.0,C_n,"-1, -1, 0",Non-Neutral,0.0,0.0
e76o2u3r,4,s9_n,1.0,C_n,"1, 0, 1",Non-Neutral,0.0,0.0
e76o2u3r,5,s9_n,1.0,C_n,"1, 1, 1",Non-Neutral,0.0,0.0
e76o2u3r,6,s9_n,0.0,C_n,"0, 0, 0",Non-Neutral,-1.0,1.0
e76o2u3r,7,s9_n,1.0,C_n,"0, 0, 1",Non-Neutral,1.0,1.0
e76o2u3r,8,s9_n,1.0,C_n,"1, 1, -1",Non-Neutral,0.0,0.0
e76o2u3r,9,s9_n,0.0,C_n,"0, 0, -1",Non-Neutral,-1.0,1.0
e76o2u3r,10,s9_n,-1.0,C_n,"-1, -1, -1",Non-Neutral,-1.0,1.0
e9p15lcn,1,s2_p,1.0,AC_p,"1, 1, -1",Non-Neutral,0.0,0.0
e9p15lcn,2,s2_p,1.0,AC_p,"0, 0, 0",Non-Neutral,0.0,0.0
e9p15lcn,3,s2_p,-1.0,AC_p,"1, 1, 0",Non-Neutral,-2.0,2.0
e9p15lcn,4,s2_p,1.0,AC_p,"-1, -1, -1",Non-Neutral,2.0,2.0
e9p15lcn,5,s2_p,0.0,AC_p,"1, -1, -1",Non-Neutral,-1.0,1.0
e9p15lcn,6,s2_p,-1.0,AC_p,"1, 1, 1",Non-Neutral,-1.0,1.0
e9p15lcn,7,s2_p,-1.0,AC_p,"0, 0, 1",Non-Neutral,0.0,0.0
e9p15lcn,8,s2_p,1.0,AC_p,"-1, 0, 0",Non-Neutral,2.0,2.0
e9p15lcn,9,s2_p,0.0,AC_p,"-1, -1, 0",Non-Neutral,-1.0,1.0
e9p15lcn,10,s2_p,-1.0,AC_p,"0, 1, -1",Non-Neutral,-1.0,1.0
etcfshua,1,s9_n,1.0,NO_n,"1, 0, 0",Non-Neutral,0.0,0.0
etcfshua,2,s9_n,1.0,NO_n,"1, 1, 1",Non-Neutral,0.0,0.0
etcfshua,3,s9_n,1.0,NO_n,"1, 1, 0",Non-Neutral,0.0,0.0
etcfshua,4,s9_n,-1.0,NO_n,"-1, -1, -1",Non-Neutral,-2.0,2.0
etcfshua,5,s9_n,1.0,NO_n,"-1, -1, 0",Non-Neutral,2.0,2.0
etcfshua,6,s9_n,1.0,NO_n,"0, -1, 0",Non-Neutral,0.0,0.0
etcfshua,7,s9_n,-1.0,NO_n,"1, -1, -1",Non-Neutral,-2.0,2.0
etcfshua,8,s9_n,1.0,NO_n,"0, 1, -1",Non-Neutral,2.0,2.0
etcfshua,9,s9_n,1.0,NO_n,"1, -1, 1",Non-Neutral,0.0,0.0
etcfshua,10,s9_n,0.0,NO_n,"0, 0, 0",Non-Neutral,-1.0,1.0
ezcg6a3o,1,s4_n,0.0,AC_n,"-1, -1, -1",Non-Neutral,-1.0,1.0
ezcg6a3o,2,s4_n,0.0,AC_n,"1, -1, 1",Non-Neutral,0.0,0.0
ezcg6a3o,3,s4_n,1.0,AC_n,"-1, 0, -1",Non-Neutral,1.0,1.0
ezcg6a3o,4,s4_n,-1.0,AC_n,"1, 1, 1",Non-Neutral,-2.0,2.0
